Product, Origin Year, Development Year, Incremental Value
Case1,1990, 1990, 67.3
Case1,1990, 1991, 87.9
Case1,1990, 1992, 99.5
Case1,1991, 1991, 167.0
Case1,1991, 1992, 166.2
Case1,1992, 1992, 89.0
Case1,1992, 1993, 126.0
Case2, 1992, 1992, 110.0
Case2, 1992, 1993, 
Case2, 1993, 1993, 200.0
Case2, 1993, 1995, 220.0
Case3, 1990, 1990, 45.2
Case3, 1990, 1991, 64.8
Case3, 1990, 1993, 37.0
Case3, 1991, 1991, 50.0
Case3, 1991, 1992, 75.0
Case3, 1991, 1993, 25.0
Case3, 1992, 1992, 55.0
Case3, 1992, 1993, 85.0
Case3, 1993, 1993, 100.0
Case4, 1995, 1995, 90.0
Case4, 1995, 1996, 102.5
Case4, 1995, 1997, 121.4
